Digimon name,estagio,hp,mp,atk,def,spd,int,peso,miss,happy,dis,btl,tech,decode,quota
ikkakumon,Champion,1000,,70,,,60,26+,3-,,70+,,14,7,3
woodmon,Champion,800,,,80,,,24+,5-,,60+,,14,7,3
airdramon,Champion,,600,,,80,80,26+,5-,,90+,,35,15,3
xv-mon,Champion,1200,,,160,90,,23+,1-,,,20,35,15,3
angemon,Champion,,,80,,80,80,20+,0,,90+,,35,15,3
orgemon,Champion,,,100,,,60,22+,1+,,,20,14,7,3
gaogamon,Champion,,,80,,120,,18+,1-,,90+,,14,7,3
kabuterimon,Champion,800,,80,90,,,25+,10-,80+,,,35,15,3
garurumon,Champion,1000,,,70,80,,23+,3-,75+,,,14,7,3
guardromon,Champion,800,,,120,,80,27+,10-,,,15,28,12,3
kyubimon,Champion,,900,90,,160,,19+,3-,,,20,28,12,3
growmon,Champion,800,,100,70,,,24+,5-,,90+,,35,15,3
greymon,Champion,1000,,80,80,,,25+,3-,60+,,,28,12,3
kuwagamon,Champion,,,100,60,,,22+,1+,,,15,14,7,3
centalmon,Champion,800,,,,90,,27+,5-,,70+,,14,7,3
sunflowmon,Champion,,800,,,,80,20+,3-,80+,,,14,7,3
geogreymon,Champion,,,120,,80,60,28+,5-,,,15,35,15,3
seadramon,Champion,,,,80,,90,24+,10-,60+,,,14,7,3
stingmon,Champion,,,115,,180,,20+,5-,,90+,,35,15,3
tyranomon,Champion,1000,,130,50,,,25+,5-,,70-,,14,7,3
tailmon,Champion,,1000,,80,,60,10+,1-,,,15,14,7,3
devimon,Champion,,,100,,,100,20+,3+,,70-,,35,15,3
togemon,Champion,1000,,80,,60,,28+,5-,,60+,,14,7,3
dorugamon,Champion,1800,1300,160,160,150,,24+,5-,,,30,35,15,3
bakemon,Champion,,800,,,,100,16+,2+,80+,,,28,12,3
birdramon,Champion,,700,,,90,60,21+,3+,,,15,35,15,3
v-dramon,Champion,,,160,,150,,22+,5-,80+,,,35,15,3
blacktailmon,Champion,1000,,60,,80,,10+,2+,,,16,14,7,3
vegimon,Champion,,600,,,,80,18+,5-,75+,,,14,7,3
meramon,Champion,700,,110,,70,,20+,10-,,,15,28,12,3
leomon,Champion,600,,80,,,60,24+,5-,,,10,35,15,3
