Digimon name,estagio,hp,mp,atk,def,spd,int,peso,miss,happy,dis,btl,tech,decode,quota
atlurkabuterimon,Perfect,2600,,160,280,200,,36+,10-,80+,,,40,16,5
andromon,Perfect,1700,,280,210,,240,44+,5-,,80+,,30,15,5
vamdemon,Perfect,2300,1400,220,150,190,350,34+,4+,,60-,,40,16,5
aerov-dramon,Perfect,2400,,340,240,340,,46+,5-,,,35+,49,18,5
etemon,Perfect,2800,1000,220,240,350,180,33+,2+,80+,,,30,15,5
angewomon,Perfect,,1900,180,210,320,,35+,0,80+,,,40,16,5
okuwamon,Perfect,2500,,320,180,,80,48+,15-,,,25+,30,15,5
garudamon,Perfect,,1800,,140,310,270,46+,10-,,,40+,40,16,5
gigadramon,Perfect,2500,1700,250,250,220,180,60+,10-,,,35+,49,18,5
grappuleomon,Perfect,1600,,280,140,320,,44+,5-,,,35+,30,15,5
jyureimon,Perfect,,2300,,290,,280,52+,10-,,80+,,40,16,5
skullgreymon,Perfect,2800,,380,220,210,,55+,6+,,40-,,40,16,5
zudomon,Perfect,2900,,230,220,,160,53+,3-,,80+,,30,15,5
taomon,Perfect,,2100,150,,190,350,33+,0,,90+,,40,16,5
digitamamon,Perfect,2700,2100,180,190,210,230,32+,10-,,40-,,49,18,5
deathmeramon,Perfect,2500,,380,140,,120,52+,2+,,,25+,30,15,5
doruguremon,Perfect,3200,1700,300,320,270,210,55+,10-,,,40+,49,18,5
paildramon,Perfect,,,,,,,,,,,,,,
pandamon,Perfect,2300,,260,200,210,,46+,5-,,,30+,30,15,5
picklemon,Perfect,,2100,260,380,270,,30+,5-,95+,,,49,15,5
bluemeramon,Perfect,1700,,350,180,100,,33+,15-,,,25+,30,16,5
vademon,Perfect,,2300,210,150,,260,38+,15-,,60-,,30,15,5
holyangemon,Perfect,1900,,,300,170,240,37+,0,,90+,,40+,16,5
machgaogamon,Perfect,1800,,230,330,,160,32+,5-,,90+,,40,16,5
mamemon,Perfect,1800,1400,210,,310,,20+,10-,80+,,,40,15,5
megaseadramon,Perfect,,2300,180,170,,290,36+,10-,,,,30,18,5
megadramon,Perfect,1700,2300,300,170,210,200,52+,10-,,,25+,49,16,5
megalogrowmon,Perfect,2600,,230,300,,130,53+,5-,,,25+,40,16,5
metalgreymon,Perfect,2500,,280,190,190,,53+,5-,,95+,25+,40,16,5
metaltyranomon,Perfect,2200,,310,210,160,,55+,0,,70+,,40,16,5
metalmamemon,Perfect,1600,,310,220,,210,35+,10-,,,35+,40,16,5
monzaemon,Perfect,2800,1200,180,250,160,160,48+,0,,,40+,49,18,5
risegreymon,Perfect,2100,,310,240,,160,48+,5-,,,25+,40,16,5
lilamon,Perfect,,2600,,180,210,250,35-,5-,80+,,,30,15,5
lilimon,Perfect,,2400,190,,220,250,30-,10-,,,40+,40,15,5
ladydevimon,Perfect,,2000,210,,320,160,33-,4+,80+,,,40,16,5
warumonzaemon,Perfect,3000,2500,250,200,200,250,50+,3+,,,40+,49,18,5
weregarrumon,Perfect,2700,,210,180,240,,43+,5-,80+,,,40,16,5
